title,ingredients,time,cook
Bánh Canh,"200 gram bột gạo, 100 gram tôm, 100 gram thịt ba chỉ, 1 ít hành lá, 1 ít mỡ hành, nước mắm, chanh, đường",30 phút,"1. Trộn bột gạo với nước, nhào thành khối dẻo, cán mỏng, cắt sợi.
2. Xào tôm, thịt, nêm gia vị.
3. Nấu nước dùng từ xương heo, thả bánh canh vào, nấu chín.
4. Thêm tôm, thịt, hành lá, mỡ hành, chan nước dùng."
Bún Mắm,"200 gram cá lóc, 100 gram tôm, 100 gram thịt ba chỉ, 1 ít mắm cá, bún, rau sống",30 phút,"1. Nấu nước dùng từ xương heo, thêm mắm cá, nấu sôi.
2. Thả cá, tôm, thịt vào nấu chín.
3. Trụng bún qua nước sôi, cho vào bát, thêm cá, tôm, thịt, chan nước dùng.
4. Dùng kèm rau sống."
Canh Khổ Qua Nhồi Thịt,"200 gram thịt lợn xay, 4 quả khổ qua, 1 ít mộc nhĩ, 1 ít hành lá, 1 ít tiêu, 1 ít muối",30 phút,"1. Khổ qua bổ đôi, bỏ hạt.
2. Trộn thịt xay với mộc nhĩ, hành lá, tiêu, muối, nhồi vào khổ qua.
3. Nấu nước sôi, thả khổ qua vào, nấu chín, nêm gia vị."
Mì Quảng,"200 gram bột gạo, 100 gram tôm, 100 gram thịt ba chỉ, 1 ít đậu phộng rang, rau sống",30 phút,"1. Luộc mì quảng, để ráo.
2. Thịt heo thái lát, tôm bóc vỏ, trứng gà đánh tan.
3. Nước dùng từ xương, nêm gia vị, kết hợp với thịt heo, tôm, hành tím.
4. Cho mì quảng vào tô, xếp thịt heo, tôm lên trên.
5. Rưới nước dùng, thêm rau sống, hành lá, tiêu.
"
Bánh Tét,"500 gram gạo nếp, 200 gram đậu xanh, 200 gram thịt ba chỉ, lá chuối, 1 ít tiêu, 1 ít muối",7 giờ,"1. Ngâm gạo nếp, đậu xanh qua đêm.
2. Thịt ba chỉ ướp tiêu, muối, cắt miếng.
3. Trải lá chuối, đặt gạo nếp, đậu xanh, thịt ba chỉ, cuộn lại, buộc chặt.
4. Nấu bánh tét trong nước sôi khoảng 6 giờ."
Bánh Phồng Tôm,"200 gram tôm, 200 gram bột năng, 1 ít tiêu, 1 ít muối",30 phút,"1. Tôm bóc vỏ, giã nhuyễn, trộn với bột năng, tiêu, muối.
2. Nhào bột, cán mỏng, cắt thành từng miếng tròn.
3. Phơi khô bánh phồng tôm.
4. Chiên bánh phồng tôm trong dầu nóng."
"Bánh Khọt
","200 gram bột gạo, 100 gram tôm, 1 ít hành lá, 1 ít mỡ hành, nước mắm, chanh, đường",30 phút,"1. Trộn bột gạo với nước, thêm hành lá thái nhỏ.
2. Đổ bột vào khuôn, thêm tôm, nướng chín vàng.
3. Rưới mỡ hành lên bánh khọt, dùng kèm nước mắm pha chua ngọt."
Bún Thang,"200 gram thịt gà, 200 gram giò lụa, 100 gram trứng gà, bún, rau răm, hành lá",30 phút,"1. Luộc gà, xé nhỏ. Trứng chiên mỏng, thái chỉ. Giò lụa thái chỉ.
2. Nấu nước dùng từ xương gà.
3. Trụng bún qua nước sôi, cho vào bát, thêm gà, trứng, giò lụa, chan nước dùng.
4. Thêm rau răm, hành lá."
Bánh Tráng Trộn,"200 gram bánh tráng, 100 gram tôm khô, 1 ít hành phi, 1 ít đậu phộng rang, rau răm, trứng cút",5 phút,"1. Bánh tráng cắt sợi.
2. Trộn bánh tráng với tôm khô, hành phi, đậu phộng rang, rau răm, trứng cút.
3. Thêm nước mắm, chanh, ớt, trộn đều."
Bún Bò Huế,"500 gram thịt bò, 200 gram giò heo, 1 quả hành tây, 1 nhánh gừng, bún, rau sống",2 giờ,"1. Thịt bò rửa sạch, thái lát mỏng.
2. Nấu nước dùng từ xương bò, thêm hành tây, hành lá, nêm gia vị.
3. Bún tráng qua nước sôi, để ráo.
4. Thịt bò chiên chín, xào với hành phi, ớt, nước mắm, mắm tôm, đường.
5. Đặt bún ra tô, rưới nước dùng, thêm thịt bò, hành lá, hành phi lên trên.
"
Bánh Tráng Nướng,"200 gram bánh tráng, 100 gram tôm khô, 1 ít hành phi, 1 ít đậu phộng rang, trứng cút, mỡ hành",10 phút,"1. Tôm khô ngâm nước ấm khoảng 15 phút, vớt ra để ráo.
2. Trộn trứng gà, hành lá thái nhỏ, tôm khô với tương ớt.
3. Đặt bánh tráng lên vỉ nướng, phết hỗn hợp trứng lên.
4. Nướng bánh tráng trên lửa nhỏ đến khi giòn.
5. Bày bánh tráng ra đĩa, cắt miếng vừa ăn.
"
Bánh Tôm Hồ Tây,"200 gram tôm, 200 gram bột mì, 1 ít bột nở, 1 ít hành lá, nước mắm, chanh, đường",20 phút,"1. Trộn bột mì với bột nở, hành lá thái nhỏ, nước.
2. Nhúng tôm vào bột, chiên giòn.
3. Dùng kèm nước mắm pha chua ngọt."
Chả Mực,"500 gram mực, 1 ít hành lá, 1 ít tiêu, 1 ít muối",30 phút,"1. Mực rửa sạch, giã nhuyễn, trộn với hành lá, tiêu, muối.
2. Vo viên, chiên giòn trong dầu nóng."
Cháo Lươn,"200 gram lươn, 200 gram gạo, 1 ít hành lá, 1 ít tiêu, 1 ít muối",30 phút,"1. Lươn rửa sạch, luộc chín, gỡ thịt, xào với hành lá.
2. Nấu gạo với nước luộc lươn đến khi cháo nhừ.
3. Thêm lươn vào, nêm gia vị, thêm hành lá, tiêu."
Bún Cá,"500 gram cá, 200 gram bún, 1 quả cà chua, 1 ít thì là, hành lá",30 phút,"1. Nấu nước dùng từ xương cá, cà chua.
2. Thái cá thành miếng, chiên giòn.
3. Trụng bún qua nước sôi, cho vào bát, thêm cá, chan nước dùng.
4. Thêm thì là, hành lá."
Bánh Da Lợn,"200 gram bột nếp, 200 gram bột năng, 200 gram đậu xanh, 200 gram đường, 1 ít lá ",30 phút,"1. Xay lá dứa lấy nước, trộn bột nếp, bột năng, đường, nước lá dứa.
2. Đậu xanh nấu chín, nghiền nhuyễn.
3. Đổ một lớp bột, một lớp đậu xanh vào khuôn, hấp chín."
Bánh Gai,"200 gram bột nếp, 100 gram đường, 100 gram đậu xanh, 1 ít lá gai, lá chuối",30 phút,"1. Lá gai nấu chín, xay nhuyễn, trộn với bột nếp, đường.
2. Đậu xanh nấu chín, nghiền nhuyễn, viên thành viên nhỏ.
3. Bọc đậu xanh vào bột, gói lá chuối, hấp chín."
Bún Chả Cá,"200 gram cá, 200 gram bún, 1 ít thì là, hành lá, nước mắm, chanh, đường",30 phút,"1. Cá lóc làm sạch, luộc chín, gỡ lấy thịt.
2. Xương cá tiếp tục nấu làm nước dùng, nêm mắm tôm, nước mắm, đường.
3. Trụng bún qua nước sôi, để ráo.
4. Bày bún ra tô, thêm thịt cá, hành lá thái nhỏ, rau sống.
5. Chan nước dùng nóng vào tô.
"
Bánh Ít,"200 gram bột nếp, 100 gram đậu xanh, 1 ít lá dứa, 1 ít đường, 1 ít dầu dừa",30 phút,"1. Xay lá dứa lấy nước, trộn bột nếp, đường, nước lá dứa.
2. Đậu xanh nấu chín, nghiền nhuyễn, viên thành viên nhỏ.
3. Bọc đậu xanh vào bột, gói lá chuối, hấp chín."
Bánh Pía,"200 gram bột mì, 100 gram đậu xanh, 100 gram sầu riêng, 100 gram trứng muối, 1 ít ",30 phút,"1. Trộn bột mì với nước, nhào thành khối dẻo.
2. Đậu xanh nấu chín, nghiền nhuyễn, trộn với sầu riêng, đường.
3. Bọc nhân đậu xanh, sầu riêng vào bột, gói lá chuối, hấp chín."
Bánh Trôi Tàu,"200 gram bột nếp, 100 gram đậu xanh, 100 gram đường, 1 ít gừng",20 phút,"1. Đậu xanh nấu chín, nghiền nhuyễn, viên thành viên nhỏ.
2. Bột nếp nhào với nước, bọc đậu xanh vào, vo tròn.
3. Luộc bánh trôi đến khi nổi, vớt ra, thả vào nước đường gừng."
Bánh Đúc Nóng,"200 gram bột gạo, 1 ít tôm khô, 1 ít hành khô, nước mắm, chanh, đường",30 phút,"1. Trộn bột gạo với nước, đổ vào khuôn, hấp chín.
2. Tôm khô xào với hành khô, nêm gia vị.
4. Chan nước mắm pha chua ngọt lên bánh đúc, thêm tôm xào."
Bún Ốc,"500 gram ốc, 200 gram bún, 1 quả cà chua, 1 ít thì là, hành lá",30 phút,"1. Luộc ốc, gỡ thịt.
2. Nấu nước dùng từ xương heo, cà chua, thì là, hành lá.
3. Trụng bún qua nước sôi, cho vào bát, thêm ốc, chan nước dùng."
Bánh Bèo Chén,"200 gram bột gạo, 100 gram tôm, 1 ít hành lá, 1 ít mỡ hành, nước mắm, chanh, đường",30 phút,"1. Trộn bột gạo với nước, đổ vào chén, hấp chín.
2. Tôm luộc chín, băm nhỏ, xào với ít mỡ hành.
3. Rưới mỡ hành lên bánh bèo, thêm tôm xào, chan nước mắm pha chua ngọt.
"
Bánh Đậu Xanh,"200 gram đậu xanh, 200 gram đường, 1 ít nước hoa bưởi",30 phút,"1. Đậu xanh nấu chín, nghiền nhuyễn, trộn với đường, nước hoa bưởi.
2. Đổ hỗn hợp vào khuôn, hấp chín."
Bánh Rán Mặn,"200 gram bột nếp, 100 gram thịt lợn xay, 1 ít mộc nhĩ, 1 ít hành khô, nước mắm, chanh, đường",30 phút,"1. Trộn bột nếp với nước, nhào thành khối dẻo.
2. Xào thịt lợn với mộc nhĩ, hành khô, nêm gia vị.
3. Bọc nhân vào bột, vo tròn, chiên giòn.
4. Pha nước chấm từ nước mắm, chanh, đường, tỏi, ớt."
Bánh Cốm,"200 gram cốm, 100 gram đậu xanh, 100 gram đường, 1 ít nước hoa bưởi",30 phút,"1. Đậu xanh nấu chín, nghiền nhuyễn, trộn với đường, nước hoa bưởi.
2. Trộn cốm với nước, hấp chín.
3. Bọc nhân đậu xanh vào cốm, gói lá chuối."
Bánh Ít Trần,"200 gram bột nếp, 100 gram đậu xanh, 1 ít hành lá, 1 ít dầu dừa",30 phút,"1. Đậu xanh nấu chín, nghiền nhuyễn, viên thành viên nhỏ.
2. Trộn bột nếp với nước, nhào thành khối dẻo, bọc đậu xanh vào, vo tròn.
3. Hấp bánh chín, rưới dầu dừa, thêm hành lá."
Bún Mọc,"200 gram thịt lợn xay, 100 gram mọc, bún, rau sống",30 phút,"1. Nấu nước dùng từ xương heo.
2. Vo viên thịt lợn xay, mọc, thả vào nước dùng, nấu chín.
3. Trụng bún qua nước sôi, cho vào bát, thêm viên mọc, chan nước dùng.
4. Dùng kèm rau sống."
Bánh Mì Thịt,"200 gram thịt heo quay, 100 gram pate, 1 ít đồ chua, 1 ít rau mùi, 1 ổ bánh mì",10 phút,"1. Thái thịt heo quay thành lát mỏng.
2. Pate phết lên bánh mì.
2. Kẹp thịt heo quay, đồ chua, rau mùi vào bánh mì."
